"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","comapny_name","skills"
998086,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12 14:29:38","Poshmark","excel"
998086,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12 14:29:38","Poshmark","looker"
998086,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12 14:29:38","Poshmark","powerpoint"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","sql"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","python"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","r"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","spark"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","express"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","excel"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","looker"
135517,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-03-13 12:19:54","Poshmark","powerpoint"
1751462,"Recruitment Data Analyst","Mumbai, Maharashtra, India","Full-time","111175.0","2023-06-07 06:10:15","Framestore","tableau"
1751462,"Recruitment Data Analyst","Mumbai, Maharashtra, India","Full-time","111175.0","2023-06-07 06:10:15","Framestore","power bi"
1655824,"Sr. Data Analyst - Product Analytics","Pune, Maharashtra, India","Full-time","111175.0","2023-05-17 02:16:38","Addepar","sql"
1655824,"Sr. Data Analyst - Product Analytics","Pune, Maharashtra, India","Full-time","111175.0","2023-05-17 02:16:38","Addepar","python"
1655824,"Sr. Data Analyst - Product Analytics","Pune, Maharashtra, India","Full-time","111175.0","2023-05-17 02:16:38","Addepar","tableau"
1655824,"Sr. Data Analyst - Product Analytics","Pune, Maharashtra, India","Full-time","111175.0","2023-05-17 02:16:38","Addepar","power bi"
1655824,"Sr. Data Analyst - Product Analytics","Pune, Maharashtra, India","Full-time","111175.0","2023-05-17 02:16:38","Addepar","looker"
943701,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-01-18 17:13:34","Avaloq","sql"
943701,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-01-18 17:13:34","Avaloq","power bi"
943701,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-01-18 17:13:34","Avaloq","dax"
814149,"Senior Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-03-10 07:20:10","NielsenIQ","python"
814149,"Senior Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-03-10 07:20:10","NielsenIQ","r"
814149,"Senior Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-03-10 07:20:10","NielsenIQ","bash"
814149,"Senior Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-03-10 07:20:10","NielsenIQ","azure"
